Time,ZONE::Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
13:40:00,0.000000E+00,2.589875E+03,0.000000E+00,2.539991E-01
13:50:00,0.000000E+00,2.643966E+03,0.000000E+00,2.593040E-01
14:00:00,0.000000E+00,2.695187E+03,0.000000E+00,2.643274E-01
14:10:00,0.000000E+00,2.741774E+03,0.000000E+00,2.688963E-01
14:20:00,0.000000E+00,2.781730E+03,0.000000E+00,2.728148E-01
14:30:00,0.000000E+00,2.815514E+03,0.000000E+00,2.761280E-01
14:40:00,0.000000E+00,2.844819E+03,0.000000E+00,2.790019E-01
14:50:00,0.000000E+00,2.869057E+03,0.000000E+00,2.813789E-01
15:00:00,0.000000E+00,2.886149E+03,0.000000E+00,2.830550E-01
15:10:00,0.000000E+00,2.897861E+03,0.000000E+00,2.842035E-01
15:20:00,0.000000E+00,2.903747E+03,0.000000E+00,2.847806E-01
15:30:00,0.000000E+00,2.901730E+03,0.000000E+00,2.845827E-01
15:40:00,0.000000E+00,2.893788E+03,0.000000E+00,2.838037E-01
15:50:00,0.000000E+00,2.880879E+03,0.000000E+00,2.825375E-01
16:00:00,0.000000E+00,2.864852E+03,0.000000E+00,2.809656E-01
16:10:00,0.000000E+00,2.844288E+03,0.000000E+00,2.789488E-01
16:20:00,0.000000E+00,2.819202E+03,0.000000E+00,2.764884E-01
16:30:00,0.000000E+00,2.791495E+03,0.000000E+00,2.737710E-01
16:40:00,0.000000E+00,2.759665E+03,0.000000E+00,2.706494E-01
16:50:00,0.000000E+00,2.723306E+03,0.000000E+00,2.670834E-01
17:00:00,0.000000E+00,2.682336E+03,0.000000E+00,2.630653E-01
17:10:00,0.000000E+00,2.638278E+03,0.000000E+00,2.587443E-01
17:20:00,0.000000E+00,2.591339E+03,0.000000E+00,2.541408E-01
17:30:00,0.000000E+00,2.541764E+03,0.000000E+00,2.492789E-01
17:40:00,0.000000E+00,2.491048E+03,0.000000E+00,2.443049E-01
17:50:00,0.000000E+00,2.439779E+03,0.000000E+00,2.392767E-01
18:00:00,0.000000E+00,2.388244E+03,0.000000E+00,2.342225E-01
18:10:00,0.000000E+00,2.378663E+03,0.000000E+00,2.332829E-01
18:20:00,0.000000E+00,2.362992E+03,0.000000E+00,2.317463E-01
18:30:00,0.000000E+00,2.346066E+03,0.000000E+00,2.300867E-01
18:40:00,0.000000E+00,2.330793E+03,0.000000E+00,2.285894E-01
18:50:00,0.000000E+00,2.318566E+03,0.000000E+00,2.273912E-01
19:00:00,0.000000E+00,2.310276E+03,0.000000E+00,2.265792E-01
19:10:00,0.000000E+00,2.264209E+03,0.000000E+00,2.220624E-01
19:20:00,0.000000E+00,2.228969E+03,0.000000E+00,2.186073E-01
19:30:00,0.000000E+00,2.200007E+03,0.000000E+00,2.157677E-01
19:40:00,0.000000E+00,2.174198E+03,0.000000E+00,2.132371E-01
19:50:00,0.000000E+00,2.150279E+03,0.000000E+00,2.108917E-01
20:00:00,0.000000E+00,2.127549E+03,0.000000E+00,2.086627E-01
20:10:00,0.000000E+00,2.105805E+03,0.000000E+00,2.065303E-01
20:20:00,0.000000E+00,2.084810E+03,0.000000E+00,2.044713E-01
20:30:00,0.000000E+00,2.064451E+03,0.000000E+00,2.024746E-01
20:40:00,0.000000E+00,2.044634E+03,0.000000E+00,2.005311E-01
20:50:00,0.000000E+00,2.025281E+03,0.000000E+00,1.986331E-01
21:00:00,0.000000E+00,2.006403E+03,0.000000E+00,1.967816E-01
21:10:00,0.000000E+00,1.989377E+03,0.000000E+00,1.951119E-01
21:20:00,0.000000E+00,1.974369E+03,0.000000E+00,1.936400E-01
21:30:00,0.000000E+00,1.961455E+03,0.000000E+00,1.923734E-01
21:40:00,0.000000E+00,1.950714E+03,0.000000E+00,1.913201E-01
21:50:00,0.000000E+00,1.942225E+03,0.000000E+00,1.904877E-01
22:00:00,0.000000E+00,1.936000E+03,0.000000E+00,1.898772E-01
22:10:00,0.000000E+00,1.929712E+03,0.000000E+00,1.892605E-01
22:20:00,0.000000E+00,1.923127E+03,0.000000E+00,1.886147E-01
22:30:00,0.000000E+00,1.916131E+03,0.000000E+00,1.879287E-01
22:40:00,0.000000E+00,1.908625E+03,0.000000E+00,1.871925E-01
22:50:00,0.000000E+00,1.900538E+03,0.000000E+00,1.863994E-01
23:00:00,0.000000E+00,1.891820E+03,0.000000E+00,1.855444E-01
23:10:00,0.000000E+00,1.883248E+03,0.000000E+00,1.847037E-01
23:20:00,0.000000E+00,1.874846E+03,0.000000E+00,1.838797E-01
23:30:00,0.000000E+00,1.866658E+03,0.000000E+00,1.830766E-01
23:40:00,0.000000E+00,1.858717E+03,0.000000E+00,1.822978E-01
23:50:00,0.000000E+00,1.851046E+03,0.000000E+00,1.815456E-01
24:00:00,0.000000E+00,1.843666E+03,0.000000E+00,1.808217E-01
Peak,0.000000E+00,2.903747E+03,0.000000E+00,2.847806E-01

Peak Vol Flow (m3/s),,,0.000000E+00,2.377620E-01
