Time,ZONE::Des Heat Load [W],ZONE:MYSIMULATION:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:MYSIMULATION:Des Cool Mass Flow [kg/s]
12:00:00,0.000000E+00,6.183183E+03,0.000000E+00,6.064034E-01
12:10:00,0.000000E+00,6.224284E+03,0.000000E+00,6.104346E-01
12:20:00,0.000000E+00,6.254471E+03,0.000000E+00,6.133955E-01
12:30:00,0.000000E+00,6.277559E+03,0.000000E+00,6.156599E-01
12:40:00,0.000000E+00,6.296702E+03,0.000000E+00,6.175374E-01
12:50:00,0.000000E+00,6.320227E+03,0.000000E+00,6.198446E-01
13:00:00,0.000000E+00,6.345913E+03,0.000000E+00,6.223637E-01
13:10:00,0.000000E+00,6.379965E+03,0.000000E+00,6.257032E-01
13:20:00,0.000000E+00,6.432738E+03,0.000000E+00,6.308789E-01
13:30:00,0.000000E+00,6.503574E+03,0.000000E+00,6.378262E-01
13:40:00,0.000000E+00,6.590891E+03,0.000000E+00,6.463899E-01
13:50:00,0.000000E+00,6.691399E+03,0.000000E+00,6.562473E-01
14:00:00,0.000000E+00,6.799577E+03,0.000000E+00,6.668570E-01
14:10:00,0.000000E+00,6.907631E+03,0.000000E+00,6.774544E-01
14:20:00,0.000000E+00,7.010344E+03,0.000000E+00,6.875279E-01
14:30:00,0.000000E+00,7.100627E+03,0.000000E+00,6.963824E-01
14:40:00,0.000000E+00,7.163441E+03,0.000000E+00,7.025427E-01
14:50:00,0.000000E+00,7.192227E+03,0.000000E+00,7.053656E-01
15:00:00,0.000000E+00,7.184823E+03,0.000000E+00,7.046391E-01
15:10:00,0.000000E+00,7.145347E+03,0.000000E+00,7.007670E-01
15:20:00,0.000000E+00,7.069577E+03,0.000000E+00,6.933354E-01
15:30:00,0.000000E+00,6.960037E+03,0.000000E+00,6.825918E-01
15:40:00,0.000000E+00,6.843216E+03,0.000000E+00,6.711341E-01
15:50:00,0.000000E+00,6.729331E+03,0.000000E+00,6.599644E-01
16:00:00,0.000000E+00,6.624647E+03,0.000000E+00,6.496975E-01
16:10:00,0.000000E+00,6.524296E+03,0.000000E+00,6.398555E-01
16:20:00,0.000000E+00,6.434574E+03,0.000000E+00,6.310561E-01
16:30:00,0.000000E+00,6.357305E+03,0.000000E+00,6.234781E-01
16:40:00,0.000000E+00,6.279403E+03,0.000000E+00,6.158380E-01
16:50:00,0.000000E+00,6.197246E+03,0.000000E+00,6.077808E-01
17:00:00,0.000000E+00,6.109191E+03,0.000000E+00,5.991450E-01
17:10:00,0.000000E+00,6.028299E+03,0.000000E+00,5.912116E-01
17:20:00,0.000000E+00,5.954798E+03,0.000000E+00,5.840032E-01
17:30:00,0.000000E+00,5.889009E+03,0.000000E+00,5.775512E-01
17:40:00,0.000000E+00,5.831437E+03,0.000000E+00,5.719050E-01
17:50:00,0.000000E+00,5.782226E+03,0.000000E+00,5.670789E-01
18:00:00,0.000000E+00,5.741456E+03,0.000000E+00,5.630806E-01
18:10:00,0.000000E+00,5.881903E+03,0.000000E+00,5.768548E-01
18:20:00,0.000000E+00,6.032874E+03,0.000000E+00,5.916623E-01
18:30:00,0.000000E+00,6.192727E+03,0.000000E+00,6.073411E-01
18:40:00,0.000000E+00,6.359039E+03,0.000000E+00,6.236540E-01
18:50:00,0.000000E+00,6.530867E+03,0.000000E+00,6.405082E-01
19:00:00,0.000000E+00,6.707664E+03,0.000000E+00,6.578501E-01
19:10:00,0.000000E+00,6.709157E+03,0.000000E+00,6.579995E-01
19:20:00,0.000000E+00,6.705531E+03,0.000000E+00,6.576459E-01
19:30:00,0.000000E+00,6.698006E+03,0.000000E+00,6.569096E-01
19:40:00,0.000000E+00,6.687341E+03,0.000000E+00,6.558650E-01
19:50:00,0.000000E+00,6.673785E+03,0.000000E+00,6.545364E-01
20:00:00,0.000000E+00,6.657871E+03,0.000000E+00,6.529763E-01
20:10:00,0.000000E+00,6.639277E+03,0.000000E+00,6.511532E-01
20:20:00,0.000000E+00,6.618438E+03,0.000000E+00,6.491097E-01
20:30:00,0.000000E+00,6.595335E+03,0.000000E+00,6.468441E-01
20:40:00,0.000000E+00,6.570081E+03,0.000000E+00,6.443675E-01
20:50:00,0.000000E+00,6.542951E+03,0.000000E+00,6.417067E-01
21:00:00,0.000000E+00,6.513788E+03,0.000000E+00,6.388466E-01
21:10:00,0.000000E+00,6.485815E+03,0.000000E+00,6.361032E-01
21:20:00,0.000000E+00,6.458866E+03,0.000000E+00,6.334601E-01
21:30:00,0.000000E+00,6.433354E+03,0.000000E+00,6.309581E-01
21:40:00,0.000000E+00,6.409395E+03,0.000000E+00,6.286084E-01
21:50:00,0.000000E+00,6.387077E+03,0.000000E+00,6.264196E-01
22:00:00,0.000000E+00,6.366460E+03,0.000000E+00,6.243976E-01
22:10:00,0.000000E+00,6.346637E+03,0.000000E+00,6.224536E-01
22:20:00,0.000000E+00,6.327702E+03,0.000000E+00,6.205966E-01
22:30:00,0.000000E+00,6.309329E+03,0.000000E+00,6.187947E-01
22:40:00,0.000000E+00,6.291805E+03,0.000000E+00,6.170761E-01
22:50:00,0.000000E+00,6.275145E+03,0.000000E+00,6.154422E-01
23:00:00,0.000000E+00,6.259386E+03,0.000000E+00,6.138967E-01
23:10:00,0.000000E+00,6.242531E+03,0.000000E+00,6.122437E-01
23:20:00,0.000000E+00,6.224516E+03,0.000000E+00,6.104769E-01
23:30:00,0.000000E+00,6.205582E+03,0.000000E+00,6.086200E-01
23:40:00,0.000000E+00,6.185401E+03,0.000000E+00,6.066407E-01
23:50:00,0.000000E+00,6.163940E+03,0.000000E+00,6.045360E-01
24:00:00,0.000000E+00,6.141164E+03,0.000000E+00,6.023021E-01
Peak,0.000000E+00,7.192227E+03,0.000000E+00,7.053656E-01

Peak Vol Flow (m3/s),,,0.000000E+00,5.861184E-01
