Date/Time,ZONE_1 INTERNAL LIGHTING_LOAD:Lights Electric Energy [J](RunPeriod),ZONE_2 INTERNAL LIGHTING_LOAD:Lights Electric Energy [J](RunPeriod),ZONE_3 INTERNAL LIGHTING_LOAD:Lights Electric Energy [J](RunPeriod),ZONE_4 INTERNAL LIGHTING_LOAD:Lights Electric Energy [J](RunPeriod),ZONE_CORE INTERNAL LIGHTING_LOAD:Lights Electric Energy [J](RunPeriod),Electricity:Building [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod) 
simdays=1,3205233.109641488,3205233.1096414879,3205233.109641488,3205233.109641488,301067.56145083988,27702000.00003542,86518496.04695356 
simdays=1,3205233.109641488,3205233.1096414879,3205233.109641488,3205233.109641488,301067.56145083988,27702000.00003542,75783618.1196546 
simdays=365,1169910085.019136,1169910085.019136,1169910085.019136,1169910085.019136,109889659.92954922,10111230000.012913,23135847006.944219 
